PGPGRP,CTPPGD,PGPRDC,PGDESC,TOTAV01
4103 ,Majestic Units                ,ODFORTG-36                         ,S/T INDOOR/OUTDOOR DV FPLC IPI,2.00                     
4103 ,Majestic Units                ,ODLANAIG-48                        ,"48"" LANAI OUTDOOR LINEAR FPLC ",1.00                     
4103 ,Majestic Units                ,ODLANAIG-60                        ,"60"" LANAI OUTDOOR LINEAR FPLC ",7.00                     
4103 ,Majestic Units                ,ODLANAIGST-48                      ,"48"" LANAI OUTDOOR SEETHRU FPLC",2.00                     
4103 ,Majestic Units                ,ODPALGST-48                        ,NG PALAZZO S/T OD LINEAR FPLC*,.00                      
4103 ,Majestic Units                ,ODVILLA-36H                        ,"36""OUTDOOR WOOD FPLC SS HERR**",.00                      
4103 ,Majestic Units                ,ODVILLA-36H-B                      ,"36""OUTDOOR WOOD FPLC SS HERR  ",.00                      
4103 ,Majestic Units                ,ODVILLA-36T                        ,"36""OUTDOOR WOOD FPLC SS*******",.00                      
4103 ,Majestic Units                ,ODVILLA-36T-B                      ,"36""OUTDOOR WOOD FPLC SS       ",7.00                     
4103 ,Majestic Units                ,ODVILLA-42H                        ,"42""OUTDOOR WOOD FPLC SS HERR**",.00                      
4103 ,Majestic Units                ,ODVILLA-42H-B                      ,"42""OUTDOOR WOOD FPLC SS HERR  ",2.00                     
4103 ,Majestic Units                ,ODVILLA-42T                        ,"42""OUTDOOR RDNT WOOD FPLC*****",.00                      
4103 ,Majestic Units                ,ODVILLA-42T-B                      ,"42""OUTDOOR RDNT WOOD FPLC SS  ",2.00                     
4103 ,Majestic Units                ,ODVILLAG-36T                       ,"36""OUTDOOR NG FPLC W/TRAD*****",.00                      
4103 ,Majestic Units                ,ODVILLAG-42T                       ,"42""OUTDOOR GAS FPLC W/REFR****",.00                      
4103 ,Majestic Units                ,PIER-DV36IN                        ,"36"" NG DV PENINSULA IFP FPLC  ",.00                      
4103 ,Majestic Units                ,PIONEER-II-C                       ,PIONEER II WOOD FIREPLACE*****,.00                      
4103 ,Majestic Units                ,PIONEER-III-ABK                    ,PIONEER III WOOD FIREPLACE****,.00                      
4103 ,Majestic Units                ,PIONEER-III-ARC                    ,PIONEER III WOOD FRPLC ARCH***,1.00                     
